0.016,0.960,0.211
0.099,0.896,0.128
-0.022,0.919,0.226
0.023,1.001,0.231
0.029,1.007,0.210
0.015,1.021,0.069
0.041,0.996,0.109
0.039,0.995,0.077
0.037,1.016,0.067
0.033,1.008,0.040
0.028,1.030,0.067
0.017,1.011,0.075
0.010,1.000,0.094
0.022,1.024,0.041
0.004,0.991,0.070
0.009,1.004,0.047
0.008,1.006,0.052
0.013,1.016,0.013
0.032,1.000,-0.009
0.011,0.988,-0.012
0.022,1.007,-0.021
0.006,1.004,-0.041
-0.007,1.015,-0.036
-0.009,1.025,-0.030
-0.013,1.020,-0.009
-0.012,1.002,-0.011
-0.017,0.998,0.016
-0.018,1.015,0.002
-0.020,1.008,0.002
-0.027,0.998,0.018
-0.020,1.009,0.022
-0.018,1.019,0.020
-0.019,1.022,0.031
-0.031,1.014,0.036
-0.040,1.007,0.046
-0.031,1.011,0.028
-0.014,1.012,0.001
-0.002,1.019,-0.021
-0.005,1.023,-0.018
-0.017,1.007,-0.012
-0.018,0.996,0.007
-0.029,0.983,0.007
-0.028,0.988,0.005
-0.020,0.991,0.003
-0.023,1.004,-0.002
-0.020,1.028,0.010
-0.039,1.047,0.020
-0.040,1.046,0.019
-0.033,1.034,0.012
-0.030,1.022,0.022
-0.011,1.028,0.021
0.011,1.032,0.025
0.028,1.043,0.033
0.037,1.077,0.016
-0.004,1.061,0.057
-0.043,1.003,0.079
-0.048,0.955,0.085
-0.016,0.962,0.029
0.104,1.004,0.026
0.201,1.104,-0.010
0.289,1.087,0.000
0.179,1.030,-0.005
0.128,0.708,0.093
0.130,0.511,0.134
0.005,0.250,-0.005
-0.018,0.061,0.012
-0.023,0.023,0.021
-0.010,0.120,-0.006
-0.001,0.305,0.007
0.006,0.306,0.016
0.008,0.329,0.015
0.007,0.349,0.014
0.008,0.365,0.008
0.008,0.379,0.001
0.015,0.419,-0.005
0.019,0.477,-0.016
0.020,0.513,-0.021
0.013,0.549,-0.025
0.006,0.593,-0.023
-0.005,0.638,-0.020
-0.015,0.641,-0.014
-0.023,0.652,-0.008
-0.031,0.667,-0.001
-0.037,0.682,-0.001
-0.039,0.724,-0.004
-0.045,0.746,0.000
-0.039,0.771,0.007
-0.028,0.830,0.010
-0.027,0.832,0.024
-0.029,0.844,0.041
-0.025,0.888,0.047
-0.025,0.916,0.042
-0.014,0.909,0.031
0.014,0.874,0.019
0.037,0.876,0.021
0.046,0.906,0.013
0.039,0.894,0.009
0.014,0.840,-0.002
0.014,0.874,-0.029
0.035,0.918,-0.064
0.231,0.529,-0.216
0.082,0.041,-0.007
0.000,0.001,0.033
-0.045,0.010,0.001
-0.056,0.023,-0.014
-0.059,0.017,-0.023
-0.055,-0.018,-0.028
-0.167,-0.703,-0.215
-0.164,-0.135,-0.087
-0.311,0.827,-0.516
0.362,0.123,-0.825
0.350,-0.104,-0.960
0.153,-0.027,-0.974
0.009,0.011,-1.031
-0.015,-0.004,-1.002
-0.017,-0.003,-1.008
-0.010,0.002,-1.009
-0.008,0.005,-1.006
-0.008,0.004,-1.007
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.004,-1.006
-0.008,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.006,-1.006
-0.008,0.005,-1.006
-0.007,0.004,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.007
-0.006,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.006,0.005,-1.006
-0.006,0.005,-1.006
-0.007,0.005,-1.006
-0.006,0.005,-1.006
-0.006,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.008,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.006,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.005
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.006
-0.006,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.007
-0.006,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.006,0.004,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.004,-1.006
-0.007,0.005,-1.006
-0.006,0.005,-1.006
-0.007,0.005,-1.007
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.004,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.005,-1.006
-0.007,0.004,-1.006
-0.007,0.004,-1.006
-0.006,0.005,-1.006
-0.006,0.005,-1.006
-0.006,0.005,-1.006
-0.006,0.005,-1.007
-0.006,0.005,-1.007
-0.006,0.005,-1.007
-0.006,0.005,-1.007
-0.006,0.005,-1.007
-0.006,0.005,-1.007
-0.006,0.005,-1.007
-0.005,0.005,-1.007
-0.005,0.004,-1.007
-0.005,0.004,-1.007
-0.005,0.004,-1.008
