code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data
10,0.4,0,0,71,22.5,22.5,0,0,0,0,0,144.6 altNRdy,
10,0.4,0,0,71,-90,112.5,-22.5,0,0,0,0,146.9 altNRdy,
10,0.5,0,0,42,-67.5,112.5,-22.5,0,0,0,0,146.8 altNRdy,
10,0.6,0,0,71,-67.5,112.5,0,0,0,0,0,146.8 altNRdy,
10,0.7,0,0,71,-67.5,135,-22.5,0,0,0,0,146.8 altNRdy,
10,0.8,0,0,71,-90,135,-45,0,0,0,0,146.8 altNRdy,
10,0.9,0,0,71,-90,135,-45,0,0,0,0,146.8 altNRdy,
10,0.1,0,0,71,-45,157.5,-22.5,0,0,0,0,146.8 altNRdy,
10,0.11,0,0,71,-22.5,135,67.5,0,0,0,0,146.8 altNRdy,
10,0.12,0,0,42,-45,135,67.5,0,0,0,0,146.8 altNRdy,
10,0.13,0,0,71,-45,135,67.5,0,0,0,0,146.8 altNRdy,
10,0.15,0,0,42,-45,135,45,0,0,0,0,146.8 altNRdy,
10,0.16,0,0,71,-22.5,157.5,45,0,0,0,0,146.8 altNRdy,
10,0.17,0,0,71,-67.5,112.5,67.5,0,0,0,0,146.8 altNRdy,
10,0.18,0,0,42,-112.5,22.5,45,0,0,0,0,146.8 altNRdy,
10,0.19,0,0,71,-22.5,22.5,0,0,0,0,0,146.8 altNRdy,
10,0.4,0,0,71,-67.5,0,-22.5,0,0,0,0,150.9 altNRdy,
10,0.5,0,0,71,-112.5,0,-45,0,0,0,0,150.9 altNRdy,
10,0.6,0,0,42,-112.5,0,-22.5,0,0,0,0,151.0 altNRdy,
10,0.7,0,0,71,-112.5,0,-22.5,0,0,0,0,150.9 altNRdy,
10,0.8,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.9,0,0,42,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.1,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.11,0,0,71,-135,22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.12,0,0,42,157.5,135,-67.5,0,0,0,0,150.8 altNRdy,
10,0.13,0,0,158,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.15,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.16,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.17,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.18,0,0,71,-135,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.19,0,0,71,-157.5,0,-45,0,0,0,0,150.8 altNRdy,
10,0.2,0,0,42,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.21,0,0,158,-135,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.22,0,0,196,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.23,0,0,43,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.24,0,0,71,-112.5,0,-45,0,0,0,0,150.8 altNRdy,
10,0.25,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.26,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.27,0,0,71,-112.5,0,-22.5,0,0,0,0,150.8 altNRdy,
10,0.28,0,0,71,-90,22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.29,0,0,71,-90,22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.3,0,0,71,-67.5,22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.31,0,0,71,-45,22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.32,0,0,42,-67.5,22.5,-67.5,0,0,0,0,150.8 altNRdy,
10,0.33,0,0,71,-90,45,-45,0,0,0,0,150.8 altNRdy,
10,0.34,0,0,42,-112.5,67.5,-22.5,0,0,0,0,150.8 altNRdy,
10,0.35,0,0,158,-112.5,67.5,-22.5,0,0,0,0,150.8 altNRdy,
10,0.36,0,0,71,-90,45,-45,0,0,0,0,150.8 altNRdy,
10,0.37,0,0,71,-67.5,22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.38,0,0,42,-22.5,0,-67.5,0,0,0,0,150.8 altNRdy,
10,0.39,0,0,71,-45,0,-67.5,0,0,0,0,150.8 altNRdy,
10,0.41,0,0,42,-112.5,45,-67.5,0,0,0,0,150.8 altNRdy,
10,0.42,0,0,158,-112.5,67.5,-45,0,0,0,0,150.8 altNRdy,
10,0.43,0,0,196,-135,90,-22.5,0,0,0,0,150.8 altNRdy,
10,0.44,0,0,71,-112.5,67.5,-22.5,0,0,0,0,150.8 altNRdy,
10,0.45,0,0,71,-67.5,0,-45,0,0,0,0,150.8 altNRdy,
10,0.46,0,0,42,-67.5,-22.5,-22.5,0,0,0,0,150.8 altNRdy,
10,0.47,0,0,158,-45,-45,-22.5,0,0,0,0,150.8 altNRdy,
10,0.48,0,0,196,-67.5,-22.5,-22.5,0,0,0,0,150.8 altNRdy,
10,0.49,0,0,43,-45,-45,-22.5,0,0,0,0,150.8 altNRdy,
10,0.5,0,0,71,-22.5,-45,-22.5,0,0,0,0,150.8 altNRdy,
10,0.51,0,0,71,0,-45,-22.5,0,0,0,0,150.8 altNRdy,
10,0.52,0,0,71,22.5,-45,-22.5,0,0,0,0,150.8 altNRdy,
10,0.53,0,0,71,-45,-45,-45,0,0,0,0,150.8 altNRdy,
10,0.54,0,0,71,-67.5,-22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.55,0,0,71,-67.5,-22.5,-45,0,0,0,0,150.8 altNRdy,
10,0.56,0,0,71,-90,0,-45,0,0,0,0,150.8 altNRdy,
10,0.57,0,0,71,-90,0,-45,0,0,0,0,150.8 altNRdy,
10,0.58,0,0,71,-112.5,45,-45,0,0,0,0,150.8 altNRdy,
10,0.59,0,0,71,-112.5,45,-22.5,0,0,0,0,150.8 altNRdy,
10,1,0,0,42,-112.5,45,-22.5,0,0,0,0,150.8 altNRdy,
10,1.1,0,0,158,-112.5,67.5,-22.5,0,0,0,0,150.8 altNRdy,
10,1.2,0,0,71,-112.5,67.5,-22.5,0,0,0,0,150.8 altNRdy,
