code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data
10,0.2,40142091,139987717,36,-135,90,0,0,0,0,0,165.7 altNRdy,
10,0.21,40142091,139987717,33,90,112.5,-22.5,0,0,0,0,165.7 altNRdy,
10,0.22,40142091,139987717,31,-45,45,0,0,0,0,0,165.7 altNRdy,
10,0.4,0,0,71,0,0,0,0,0,0,0,169.7 altNRdy,
10,0.5,0,0,42,-90,-22.5,45,0,0,0,0,169.8 altNRdy,
10,0.6,40142186,139987617,24,-90,-22.5,22.5,0,0,0,0,169.8 altNRdy,
10,0.7,40142182,139987612,23,-112.5,0,22.5,0,0,0,0,169.8 altNRdy,
10,0.8,40142182,139987612,22,-157.5,0,0,0,0,0,0,169.7 altNRdy,
10,0.9,40142182,139987612,21,-112.5,0,45,0,0,0,0,169.7 altNRdy,
10,0.1,40142180,139987602,23,-135,0,45,0,0,0,0,169.7 altNRdy,
10,0.11,40142180,139987602,21,-157.5,22.5,45,0,0,0,0,169.7 altNRdy,
10,0.12,40142180,139987602,20,-157.5,22.5,22.5,0,0,0,0,169.7 altNRdy,
10,0.13,40142180,139987602,19,157.5,0,22.5,0,0,0,0,169.7 altNRdy,
10,0.15,40142171,139987565,20,90,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.16,40142171,139987565,18,45,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.17,40142171,139987565,17,45,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.18,40142177,139987578,21,67.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.19,40142178,139987579,21,67.5,0,0,0,0,0,0,169.7 altNRdy,
10,0.2,40142179,139987580,21,67.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.21,40142179,139987580,19,45,0,0,0,0,0,0,169.7 altNRdy,
10,0.22,40142177,139987592,22,67.5,0,0,0,0,0,0,169.7 altNRdy,
10,0.23,40142177,139987592,20,22.5,0,22.5,0,0,0,0,169.7 altNRdy,
10,0.24,40142177,139987592,19,22.5,0,22.5,0,0,0,0,169.7 altNRdy,
10,0.25,40142177,139987592,18,22.5,0,22.5,0,0,0,0,169.7 altNRdy,
10,0.26,40142184,139987600,22,45,0,0,0,0,0,0,169.7 altNRdy,
10,0.27,40142184,139987600,21,67.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.28,40142184,139987600,20,67.5,22.5,-45,0,0,0,0,169.7 altNRdy,
10,0.29,40142169,139987606,23,67.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.3,40142168,139987619,25,67.5,22.5,-22.5,0,0,0,0,169.7 altNRdy,
10,0.31,40142168,139987629,25,67.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.32,40142164,139987628,26,67.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.33,40142164,139987618,25,90,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.34,40142164,139987619,25,112.5,0,-45,0,0,0,0,169.7 altNRdy,
10,0.35,40142164,139987620,25,112.5,0,-45,0,0,0,0,169.7 altNRdy,
10,0.36,40142163,139987620,25,157.5,0,-22.5,0,0,0,0,169.7 altNRdy,
10,0.37,40142162,139987616,25,-157.5,-22.5,-22.5,0,0,0,0,169.7 altNRdy,
10,0.38,40142160,139987614,25,-112.5,-22.5,-22.5,0,0,0,0,169.7 altNRdy,
10,0.39,40142160,139987614,23,-90,-45,-22.5,0,0,0,0,169.7 altNRdy,
10,0.41,40142160,139987614,21,-112.5,-45,-22.5,0,0,0,0,169.7 altNRdy,
10,0.42,40142160,139987614,20,-112.5,-45,-22.5,0,0,0,0,169.7 altNRdy,
10,0.43,40142160,139987614,20,-112.5,-45,-22.5,0,0,0,0,169.7 altNRdy,
10,0.44,40142160,139987614,20,-112.5,-22.5,-22.5,0,0,0,0,169.7 altNRdy,
