code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data,latitude,longitude
4,0.4,0,0,244,281.25,0,0,0,0,0,0,1,174.1 altNRdy,0,0
4,0.5,0,0,244,315,0,0,0,0,0,0,1,174.1 altNRdy,0,0
4,0.4,0,0,244,270,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.5,0,0,244,292.5,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.6,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.7,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.8,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.9,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.1,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.11,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.12,0,0,244,303.75,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.13,0,0,244,292.5,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.15,0,0,233,281.25,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.16,0,0,244,292.5,0,0,0,0,0,0,1,170.9 altNRdy,0,0
4,0.17,0,0,233,348.75,0,0,0,0,0,0,1,171.9 c5 Rise,0,0
4,0.18,0,0,242,315,0,0,0,0,0,0,1,171.9 c5 Rise,0,0
4,0.19,0,0,244,315,0,0,0,0,0,0,1,171.9 c5 Rise,0,0
4,0.2,0,0,244,326.25,0,11.2,0,0,0,0,1,171.9 c5 Rise,0,0
4,0.21,0,0,244,326.25,0,0,0,0,0,0,1,171.9 c5 Rise,0,0
4,0.22,0,0,244,337.5,0,0,0,0,0,0,1,171.9 c5 Rise,0,0
4,0.23,0,0,244,22.5,180,0,0,0,0,0,1,171.5 c5 Fall,0,0
4,0.24,0,0,244,90,112.5,0,0,0,0,0,1,171.5 c5 Fall,0,0
4,0.25,0,0,244,112.5,123.8,0,0,0,0,0,1,171.5 c5 Fall,0,0
4,0.26,0,0,244,270,0,0,0,0,0,0,1,171.5 c5 Fall,0,0
4,0.27,0,0,244,281.25,0,0,0,0,0,0,6,0.1 s0.04 a -0 L,0,0
4,0.28,0,0,244,22.5,0,0,0,0,0,0,6,NC 1 Heata -0 L,0,0
4,0.29,0,0,233,11.25,0,0,0,0,0,0,6,NC 3 Heata -0 L,0,0
4,0.3,0,0,242,0,0,0,0,0,0,0,6,NC 5 Heata -0 L,0,0
4,0.31,0,0,244,146.25,168.8,0,0,0,0,0,2,NC 0 Donea -0 L,0,0
4,0.32,0,0,233,135,101.2,0,0,2,0,0,2,t-1.08 Left-0 L,0,0
4,0.33,0,0,242,112.5,101.2,0,0,2,0,0,2,t-1.08 Left-0 L,0,0
4,0.34,0,0,229,101.25,22.5,22.5,0,2,0,0,2,t-1.08 Left-0 L,0,0
4,0.35,0,0,233,337.5,0,33.8,0,0,2,0,2,t0.56 Right-0 L,0,0
4,0.36,0,0,242,247.5,0,67.5,0,0,2,0,2,t0.56 Right-0 L,0,0
