code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data,latitude,longitude
2,0.4,34801534,135770964,7,123.75,0,0,0,0,0,0,1,155.7 altNRdy,34.801534,135.770964
2,0.5,34801534,135770964,6,123.75,0,0,0,0,0,0,1,155.7 altNRdy,34.801534,135.770964
2,0.6,34801520,135770941,9,123.75,0,0,0,0,0,0,1,155.6 altNRdy,34.80152,135.770941
2,0.4,0,0,246,157.5,0,56.2,0,0,0,0,1,154.7 altNRdy,0,0
2,0.5,34801527,135770909,12,45,78.8,0,0,0,0,0,1,155.3 altNRdy,34.801527,135.770909
2,0.6,34801528,135770916,11,281.25,33.8,0,0,0,0,0,1,155.8 altNRdy,34.801528,135.770916
2,0.7,34801528,135770916,10,78.75,0,0,0,0,0,0,1,155.6 altNRdy,34.801528,135.770916
2,0.8,34801528,135770916,10,315,0,0,0,0,0,0,1,155.8 c6 Rise,34.801528,135.770916
2,0.9,34801508,135770952,10,78.75,11.2,0,0,0,0,0,1,155.8 c6 Rise,34.801508,135.770952
2,0.1,34801519,135770948,9,11.25,0,0,0,0,0,0,1,155.8 c6 Rise,34.801519,135.770948
2,0.11,34801523,135770942,9,168.75,0,0,0,0,0,0,1,155.8 c6 Rise,34.801523,135.770942
2,0.12,34801521,135770933,10,33.75,0,0,0,0,0,0,1,155.8 c6 Rise,34.801521,135.770933
2,0.13,34801520,135770927,11,202.5,0,0,0,0,0,0,1,155.8 c6 Rise,34.80152,135.770927
2,0.15,34801523,135770916,11,90,0,0,0,0,0,0,1,155.8 c6 Rise,34.801523,135.770916
2,0.16,34801523,135770916,10,146.25,0,0,0,0,0,0,1,155.0 c5 Fall,34.801523,135.770916
2,0.17,34801525,135770905,12,168.75,0,56.2,0,0,0,0,1,155.0 c5 Fall,34.801525,135.770905
2,0.18,34801525,135770905,11,123.75,0,67.5,0,0,0,0,1,155.0 c5 Fall,34.801525,135.770905
2,0.19,34801525,135770905,11,123.75,0,67.5,0,0,0,0,1,155.0 c5 Fall,34.801525,135.770905
2,0.2,34801525,135770905,10,123.75,0,67.5,0,0,0,0,6,NC 0 Heata  0 L,34.801525,135.770905
2,0.21,34801532,135770898,13,123.75,0,67.5,0,0,0,0,6,NC 2 Heata  0 L,34.801532,135.770898
2,0.22,34801534,135770896,13,112.5,0,56.2,0,0,0,0,6,NC 4 Heata  0 L,34.801534,135.770896
2,0.23,34801534,135770896,12,101.25,0,45,0,0,0,0,6,NC 6 Heata  0 L,34.801534,135.770896
2,0.24,34801537,135770893,12,135,0,45,0,0,2,0,2,t2.14 Right 0 L,34.801537,135.770893
2,0.25,34801540,135770890,12,135,0,0,0,0,2,0,2,t1.94 Right 0 L,34.80154,135.77089
2,0.26,34801540,135770890,12,123.75,0,0,0,0,2,0,2,t1.94 Right 0 L,34.80154,135.77089
2,0.27,34801540,135770890,11,123.75,0,0,0,0,2,0,2,t1.94 Right 0 L,34.80154,135.77089
2,0.28,34801540,135770890,11,123.75,0,0,0,0,2,0,2,t1.94 Right 0 L,34.80154,135.77089
