0.477,-0.098,0.875
0.491,-0.081,0.874
0.572,-0.112,0.815
0.588,-0.054,0.753
0.564,-0.078,0.726
0.535,-0.060,0.709
0.497,-0.049,0.691
0.463,-0.066,0.808
0.458,-0.137,0.930
0.457,-0.119,0.996
0.463,-0.095,0.969
0.437,-0.102,0.934
0.415,-0.045,0.900
0.378,-0.009,0.890
0.324,-0.027,0.928
0.289,-0.030,0.949
0.286,-0.031,0.950
0.289,-0.048,0.958
0.306,-0.066,0.961
0.331,-0.075,0.981
0.328,-0.079,0.960
0.313,-0.070,0.945
0.301,-0.082,0.962
0.307,-0.083,0.984
0.309,-0.072,0.997
0.305,-0.079,0.994
0.298,-0.094,0.996
0.295,-0.112,1.023
0.304,-0.120,1.011
0.293,-0.132,0.988
0.287,-0.158,0.963
0.306,-0.183,0.960
0.326,-0.192,0.963
0.330,-0.209,0.949
0.334,-0.224,0.919
0.316,-0.248,0.880
0.275,-0.245,0.813
0.217,-0.229,0.768
0.158,-0.205,0.710
0.106,-0.198,0.657
0.129,-0.221,0.625
0.190,-0.272,0.697
0.142,-0.293,0.782
0.006,-0.267,0.884
-0.120,-0.194,0.905
-0.150,-0.146,0.907
-0.127,-0.135,0.897
-0.083,-0.227,0.924
-0.017,-0.352,0.898
0.037,-0.461,0.840
0.042,-0.547,0.804
0.016,-0.586,0.788
-0.032,-0.624,0.781
-0.046,-0.702,0.727
-0.001,-0.895,0.755
0.038,-0.960,0.771
0.088,-0.882,0.790
0.179,-0.773,0.836
0.288,-0.808,0.915
0.423,-0.856,0.947
0.544,-0.791,0.958
0.570,-0.764,0.911
0.530,-0.758,0.845
0.452,-0.677,0.765
0.374,-0.519,0.638
0.284,-0.418,0.629
0.200,-0.393,0.728
0.183,-0.307,0.773
0.219,-0.258,0.770
0.230,-0.358,0.795
0.229,-0.457,0.781
0.224,-0.490,0.735
0.246,-0.565,0.770
0.276,-0.563,0.996
0.266,-0.318,1.091
0.364,-0.202,1.204
0.414,-0.198,1.155
0.425,-0.339,1.115
0.365,-0.389,1.042
0.265,-0.374,0.940
0.192,-0.311,0.897
0.159,-0.260,0.858
0.155,-0.250,0.834
0.159,-0.234,0.881
0.229,-0.171,0.990
0.316,-0.068,1.096
0.465,-0.012,1.091
0.518,-0.029,1.112
0.482,-0.053,1.102
0.445,-0.067,1.071
0.436,-0.096,1.041
0.422,-0.122,0.966
0.419,-0.144,0.872
0.453,-0.174,0.813
0.506,-0.199,0.813
0.562,-0.224,0.846
0.588,-0.251,0.812
0.588,-0.264,0.743
0.584,-0.252,0.680
0.618,-0.237,0.664
0.688,-0.215,0.677
0.697,-0.173,0.658
0.712,-0.142,0.619
0.732,-0.126,0.599
0.772,-0.125,0.595
0.798,-0.129,0.590
0.803,-0.131,0.582
0.822,-0.135,0.590
0.833,-0.139,0.595
0.825,-0.140,0.590
0.831,-0.139,0.589
0.825,-0.142,0.570
0.815,-0.149,0.549
0.876,-0.166,0.582
0.969,-0.179,0.625
0.983,-0.183,0.615
0.901,-0.179,0.569
0.849,-0.173,0.552
0.928,-0.186,0.626
0.933,-0.180,0.704
0.814,-0.149,0.704
0.765,-0.127,0.740
0.791,-0.108,0.798
0.854,-0.107,0.772
0.956,-0.121,0.689
0.975,-0.114,0.613
0.996,-0.123,0.672
1.005,-0.143,0.749
0.921,-0.151,0.747
0.771,-0.142,0.662
0.709,-0.145,0.642
0.719,-0.149,0.687
0.733,-0.144,0.684
0.678,-0.129,0.602
0.666,-0.122,0.566
0.678,-0.123,0.508
0.718,-0.126,0.540
0.710,-0.114,0.609
0.648,-0.090,0.644
0.599,-0.083,0.589
0.552,-0.086,0.575
0.528,-0.094,0.572
0.548,-0.110,0.604
0.577,-0.118,0.635
0.596,-0.112,0.646
0.638,-0.107,0.670
0.688,-0.103,0.710
0.695,-0.099,0.744
0.669,-0.102,0.729
0.649,-0.108,0.682
0.664,-0.119,0.658
0.717,-0.135,0.670
0.752,-0.139,0.664
0.739,-0.127,0.587
0.730,-0.116,0.548
0.758,-0.100,0.545
0.825,-0.083,0.576
0.859,-0.069,0.596
0.845,-0.060,0.598
0.844,-0.049,0.625
0.890,-0.031,0.642
1.009,-0.007,0.716
1.022,0.031,0.713
0.942,0.028,0.626
0.803,0.010,0.523
0.707,-0.010,0.466
0.619,-0.051,0.451
0.640,-0.089,0.549
0.734,-0.134,0.608
0.837,-0.181,0.667
0.878,-0.224,0.750
0.836,-0.264,0.773
0.773,-0.287,0.749
0.728,-0.280,0.742
0.752,-0.289,0.802
0.781,-0.299,0.877
0.785,-0.272,0.853
0.776,-0.244,0.808
0.768,-0.216,0.767
0.786,-0.210,0.755
0.775,-0.202,0.733
0.767,-0.208,0.724
0.803,-0.229,0.752
0.851,-0.249,0.767
0.862,-0.252,0.732
0.847,-0.246,0.657
0.864,-0.252,0.605
0.843,-0.246,0.546
0.827,-0.244,0.527
0.831,-0.232,0.518
0.760,-0.202,0.428
0.629,-0.172,0.407
0.593,-0.152,0.423
0.679,-0.163,0.462
0.836,-0.207,0.555
0.985,-0.255,0.657
0.977,-0.270,0.616
0.881,-0.260,0.508
0.808,-0.231,0.448
0.777,-0.193,0.475
0.748,-0.153,0.509
0.693,-0.107,0.527
0.731,-0.092,0.624
0.826,-0.109,0.675
0.850,-0.163,0.696
0.800,-0.202,0.652
0.743,-0.200,0.595
0.613,-0.169,0.497
0.584,-0.144,0.481
0.663,-0.131,0.542
0.816,-0.149,0.672
0.912,-0.186,0.759
0.931,-0.202,0.781
0.896,-0.202,0.774
0.858,-0.201,0.744
0.838,-0.197,0.725
0.857,-0.197,0.741
0.871,-0.192,0.733
0.838,-0.182,0.701
0.783,-0.158,0.673
0.695,-0.125,0.671
0.658,-0.100,0.663
0.772,-0.114,0.765
0.954,-0.161,0.874
1.044,-0.207,0.899
0.961,-0.216,0.830
0.754,-0.189,0.665
0.549,-0.157,0.469
0.400,-0.136,0.329
0.479,-0.166,0.433
0.770,-0.183,0.647
0.938,-0.189,0.805
0.964,-0.178,0.853
0.982,-0.162,0.890
0.954,-0.160,0.864
0.915,-0.169,0.839
0.851,-0.174,0.787
0.780,-0.170,0.712
0.668,-0.151,0.586
0.517,-0.121,0.451
0.369,-0.090,0.334
0.218,-0.065,0.220
0.108,-0.058,0.168
0.061,-0.063,0.165
0.116,-0.082,0.256
0.317,-0.089,0.426
0.761,-0.067,0.752
1.280,-0.187,1.061
1.390,-0.253,1.159
1.390,-0.253,1.159
1.390,-0.253,1.159
1.292,-0.266,1.119
1.103,-0.254,1.025
1.038,-0.241,1.004
1.139,-0.223,1.016
1.290,-0.180,1.061
1.301,-0.141,1.027
1.201,-0.134,0.937
1.099,-0.136,0.869
1.035,-0.132,0.834
0.963,-0.127,0.785
0.861,-0.123,0.705
0.734,-0.120,0.613
0.633,-0.117,0.539
0.579,-0.113,0.496
0.603,-0.107,0.493
0.649,-0.100,0.518
0.695,-0.095,0.558
0.759,-0.104,0.623
0.914,-0.132,0.751
1.052,-0.165,0.853
1.094,-0.197,0.911
1.080,-0.218,0.928
1.046,-0.231,0.920
1.045,-0.237,0.916
1.036,-0.241,0.891
1.000,-0.242,0.841
0.934,-0.236,0.773
0.847,-0.221,0.697
0.760,-0.203,0.624
0.752,-0.196,0.614
0.801,-0.196,0.632
0.866,-0.205,0.652
0.873,-0.211,0.640
0.845,-0.210,0.644
0.799,-0.199,0.655
0.736,-0.185,0.639
0.678,-0.173,0.630
0.633,-0.169,0.623
0.586,-0.163,0.614
0.546,-0.158,0.601
0.517,-0.153,0.572
0.482,-0.142,0.522
0.443,-0.129,0.468
0.435,-0.122,0.444
0.451,-0.119,0.440
0.501,-0.116,0.466
0.589,-0.122,0.525
0.737,-0.143,0.634
0.930,-0.171,0.770
1.085,-0.202,0.885
1.272,-0.232,1.035
1.517,-0.276,1.216
1.655,-0.322,1.314
1.673,-0.346,1.341
1.726,-0.366,1.391
1.840,-0.390,1.496
1.924,-0.405,1.595
1.899,-0.393,1.598
1.871,-0.388,1.546
1.923,-0.412,1.521
2.045,-0.452,1.541
2.211,-0.512,1.641
2.373,-0.577,1.729
2.444,-0.620,1.726
2.401,-0.574,1.594
2.426,-0.522,1.562
2.559,-0.470,1.664
2.908,-0.405,1.843
3.080,-0.224,1.929
2.974,-0.080,1.762
2.903,-0.048,1.559
3.192,-0.076,1.687
3.572,-0.113,1.911
3.927,-0.161,2.165
4.305,-0.258,2.538
4.472,-0.338,2.911
4.663,-0.369,3.271
4.876,-0.387,3.615
5.140,-0.369,3.915
5.464,-0.302,4.229
5.467,-0.205,4.206
5.168,-0.137,4.008
4.973,-0.139,4.000
5.106,-0.214,4.269
5.486,-0.338,4.700
6.186,-0.533,5.276
6.396,-0.610,5.272
6.294,-0.623,5.118
6.375,-0.670,5.368
6.866,-0.861,5.952
7.287,-1.008,6.234
7.271,-0.949,5.980
6.900,-0.797,5.503
6.414,-0.634,5.002
5.978,-0.506,4.637
5.583,-0.439,4.294
5.256,-0.489,4.073
5.297,-0.613,4.101
5.645,-0.714,4.463
6.022,-0.752,4.868
6.563,-0.813,5.350
7.171,-0.973,5.859
7.632,-1.152,6.123
8.258,-1.274,6.535
8.824,-1.349,6.987
9.285,-1.383,7.340
9.707,-1.403,7.605
9.784,-1.347,7.484
9.356,-1.224,6.847
8.912,-1.106,6.232
8.683,-1.082,5.907
8.482,-1.139,5.715
8.164,-1.163,5.499
7.962,-1.172,5.380
7.869,-1.220,5.396
7.900,-1.345,5.658
7.659,-1.508,5.740
7.325,-1.705,5.542
6.930,-1.749,5.080
6.573,-1.614,4.553
6.152,-1.446,4.126
5.456,-1.235,3.660
4.907,-1.056,3.450
4.713,-0.987,3.659
4.925,-1.053,4.012
5.214,-1.088,4.449
5.829,-1.122,5.323
6.798,-1.190,6.594
7.289,-1.211,7.839
7.323,-1.338,8.688
7.422,-1.398,9.376
7.503,-1.401,9.945
7.467,-1.355,10.136
7.421,-1.229,10.136
7.408,-0.950,9.956
7.142,-0.581,9.505
7.012,-0.310,8.995
6.920,-0.210,8.432
6.821,-0.194,7.791
6.974,-0.427,7.230
7.491,-0.771,7.161
7.856,-1.100,7.062
8.069,-1.301,6.714
7.942,-1.478,6.081
7.386,-1.448,5.160
6.551,-1.390,4.342
5.946,-1.497,3.935
5.967,-1.644,3.952
6.373,-1.772,4.406
6.888,-1.838,4.720
7.236,-1.841,4.942
7.543,-1.835,5.185
7.695,-1.861,5.655
7.718,-1.817,6.278
7.850,-1.706,6.839
8.100,-1.659,7.689
8.369,-1.667,8.433
8.538,-1.749,9.114
8.120,-1.717,9.364
7.402,-1.566,9.150
6.826,-1.327,8.801
6.653,-1.131,8.671
7.003,-1.073,8.830
7.369,-0.976,8.883
7.359,-0.706,8.714
6.946,-0.490,8.311
6.222,-0.308,7.658
5.475,-0.011,6.747
4.687,0.151,5.726
4.041,0.203,4.939
3.697,0.099,4.311
3.660,-0.102,3.881
3.977,-0.423,3.727
4.452,-0.644,3.778
4.894,-0.712,3.834
5.419,-0.742,4.043
6.395,-0.923,4.776
6.884,-1.189,5.187
7.211,-1.232,5.205
7.810,-1.293,5.591
8.486,-1.582,6.139
8.874,-1.812,6.185
8.999,-1.818,5.997
8.832,-1.626,5.652
8.034,-1.428,5.107
7.256,-1.387,4.964
7.023,-1.388,5.193
7.096,-1.332,5.677
7.183,-1.307,6.250
7.357,-1.221,7.038
7.387,-1.112,7.708
7.454,-1.028,8.262
7.554,-0.958,8.644
7.244,-0.867,8.717
6.703,-0.685,8.489
5.959,-0.451,7.997
5.294,-0.186,7.269
4.725,-0.007,6.597
4.603,0.056,6.292
4.838,-0.011,6.144
5.144,-0.110,6.019
5.713,-0.370,6.100
6.884,-0.904,6.561
7.933,-1.287,6.929
8.799,-1.462,7.130
9.550,-1.550,7.263
10.009,-1.560,7.361
9.928,-1.668,7.182
9.548,-1.928,6.982
9.177,-2.047,6.646
8.591,-1.968,6.124
8.029,-1.851,5.708
7.570,-1.646,5.737
7.642,-1.432,6.331
8.187,-1.244,7.316
8.363,-1.077,8.129
7.880,-1.043,8.618
7.344,-0.906,8.663
6.648,-0.515,8.496
5.773,-0.177,7.921
4.867,0.124,7.109
4.362,0.354,6.548
4.427,0.401,6.303
4.771,0.230,6.189
5.031,0.003,5.930
5.754,-0.356,6.059
6.995,-0.991,6.557
7.917,-1.383,6.703
8.580,-1.567,6.722
9.139,-1.602,6.686
9.616,-1.676,6.975
